"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2016-9878,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"An issue was discovered in Pivotal Spring Framework before 3.2.18, 4.2.x before 4.2.9, and 4.3.x before 4.3.5. Paths provided to the ResourceServlet were not properly sanitized and as a result exposed to directory traversal attacks.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2017-8046,CWE-20 Improper Input Validation,"Malicious PATCH requests submitted to servers using Spring Data REST versions prior to 2.6.9 (Ingalls SR9), versions prior to 3.0.1 (Kay SR1) and Spring Boot versions prior to 1.5.9, 2.0 M6 can use specially crafted JSON data to run arbitrary Java code.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2018-1196,CWE-59 Improper Link Resolution Before File Access ('Link Following'),"Spring Boot supports an embedded launch script that can be used to easily run the application as a systemd or init.d linux service. The script included with Spring Boot 1.5.9 and earlier and 2.0.0.M1 through 2.0.0.M7 is susceptible to a symlink attack which allows the ""run_user"" to overwrite and take ownership of any file on the same system. In order to instigate the attack, the application must be installed as a service and the ""run_user"" requires shell access to the server. Spring Boot application that are not installed as a service, or are not using the embedded launch script are not susceptible.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,5.9,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2018-1270,CWE-358 Improperly Implemented Security Check for Standard,"Spring Framework, versions 5.0 prior to 5.0.5 and versions 4.3 prior to 4.3.15 and older unsupported versions, allow applications to expose STOMP over WebSocket endpoints with a simple, in-memory STOMP broker through the spring-messaging module. A malicious user (or attacker) can craft a message to the broker that can lead to a remote code execution attack.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2018-1271,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"Spring Framework, versions 5.0 prior to 5.0.5 and versions 4.3 prior to 4.3.15 and older unsupported versions, allow applications to configure Spring MVC to serve static resources (e.g. CSS, JS, images). When static resources are served from a file system on Windows (as opposed to the classpath, or the ServletContext), a malicious user can send a request using a specially crafted URL that can lead a directory traversal attack.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:P/I:N/A:N,MEDIUM,5.9,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2018-1272,NVD-CWE-noinfo,"Spring Framework, versions 5.0 prior to 5.0.5 and versions 4.3 prior to 4.3.15 and older unsupported versions, provide client-side support for multipart requests. When Spring MVC or Spring WebFlux server application (server A) receives input from a remote client, and then uses that input to make a multipart request to another server (server B), it can be exposed to an attack, where an extra multipart is inserted in the content of the request from server A, causing server B to use the wrong value for a part it expects. This could to lead privilege escalation, for example, if the part content represents a username or user roles.",NVD,MEDIUM,6.0,/AV:N/AC:M/Au:S/C:P/I:P/A:P,HIGH,7.5,CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2020-5421,NVD-CWE-noinfo,"In Spring Framework versions 5.2.0 - 5.2.8, 5.1.0 - 5.1.17, 5.0.0 - 5.0.18, 4.3.0 - 4.3.28, and older unsupported versions, the protections against RFD attacks from CVE-2015-5211 may be bypassed depending on the browser used through the use of a jsessionid path parameter.",NVD,LOW,3.6,/AV:N/AC:H/Au:S/C:P/I:P/A:N,MEDIUM,6.5,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:C/C:L/I:H/A:N,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar,Spring Boot + Apache Cassandra example app,"",870ac1f897e735f5bd76715b10f69c55,9e6bf1d4e66e953acd3bb9938f141f475aed2210,pkg:maven/com.devops/spring-boot-cassandra@0.0.1-SNAPSHOT,"cpe:2.3:a:pivotal_software:spring_boot:0.0.1:snapshot:*:*:*:*:*:*, cpe:2.3:a:pivotal_software:spring_framework:0.0.1:snapshot:*:*:*:*:*:*",CVE-2021-26987,NVD-CWE-noinfo,"Element Plug-in for vCenter Server incorporates SpringBoot Framework. SpringBoot Framework versions prior to 1.3.2 are susceptible to a vulnerability which when successfully exploited could lead to Remote Code Execution. All versions of Element Plug-in for vCenter Server, Management Services versions prior to 2.17.56 and Management Node versions through 12.2 contain vulnerable versions of SpringBoot Framework.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,28
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar: guava-19.0.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar/BOOT-INF/lib/guava-19.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,43bfc49bdc7324f6daaa60c1ee9f3972,6ce200f6b23222af3d8abb6b6459e6c44f4bb0e9,pkg:maven/com.google.guava/guava@19.0,cpe:2.3:a:google:guava:19.0:*:*:*:*:*:*:*,CVE-2018-10237,CWE-770 Allocation of Resources Without Limits or Throttling,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,19
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar: guava-19.0.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar/BOOT-INF/lib/guava-19.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,43bfc49bdc7324f6daaa60c1ee9f3972,6ce200f6b23222af3d8abb6b6459e6c44f4bb0e9,pkg:maven/com.google.guava/guava@19.0,cpe:2.3:a:google:guava:19.0:*:*:*:*:*:*:*,CVE-2020-8908,CWE-732 Incorrect Permission Assignment for Critical Resource,"A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,HIGH,19
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar: hibernate-validator-5.3.5.Final.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar/BOOT-INF/lib/hibernate-validator-5.3.5.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,bd241d9104768ad5ef698d58534c0bce,0622a9bcef2eed6d41b5b8e0662c36212009e375,pkg:maven/org.hibernate/hibernate-validator@5.3.5.Final,"cpe:2.3:a:hibernate:hibernate-validator:5.3.5:*:*:*:*:*:*:*, cpe:2.3:a:redhat:hibernate_validator:5.3.5:*:*:*:*:*:*:*",CVE-2017-7536,CWE-470 Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"In Hibernate Validator 5.2.x before 5.2.5 final, 5.3.x, and 5.4.x, it was found that when the security manager's reflective permissions, which allows it to access the private members of the class, are granted to Hibernate Validator, a potential privilege escalation can occur. By allowing the calling code to access those private members without the permission an attacker may be able to validate an invalid instance and access the private member value via ConstraintViolation#getInvalidValue().",NVD,MEDIUM,4.4,/AV:L/AC:M/Au:N/C:P/I:P/A:P,HIGH,7.0,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,32
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar: hibernate-validator-5.3.5.Final.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar/BOOT-INF/lib/hibernate-validator-5.3.5.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,bd241d9104768ad5ef698d58534c0bce,0622a9bcef2eed6d41b5b8e0662c36212009e375,pkg:maven/org.hibernate/hibernate-validator@5.3.5.Final,"cpe:2.3:a:hibernate:hibernate-validator:5.3.5:*:*:*:*:*:*:*, cpe:2.3:a:redhat:hibernate_validator:5.3.5:*:*:*:*:*:*:*",CVE-2019-10219,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),A vulnerability was found in Hibernate-Validator. The SafeHtml validator annotation fails to properly sanitize payloads consisting of potentially malicious code in HTML comments and instructions. This vulnerability can result in an XSS attack.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGH,32
WebGoat Dependency Check using OWASP,"Tue, 7 Sep 2021 09:07:11 GMT",spring-boot-cassandra-0.0.1-SNAPSHOT.jar: hibernate-validator-5.3.5.Final.jar,/src/spring-boot-cassandra-0.0.1-SNAPSHOT.jar/BOOT-INF/lib/hibernate-validator-5.3.5.Final.jar,Hibernate's Bean Validation (JSR-303) reference implementation.,http://www.apache.org/licenses/LICENSE-2.0.txt,bd241d9104768ad5ef698d58534c0bce,0622a9bcef2eed6d41b5b8e0662c36212009e375,pkg:maven/org.hibernate/hibernate-validator@5.3.5.Final,"cpe:2.3:a:hibernate:hibernate-validator:5.3.5:*:*:*:*:*:*:*, cpe:2.3:a:redhat:hibernate_validator:5.3.5:*:*:*:*:*:*:*",CVE-2020-10693,CWE-20 Improper Input Validation,"A flaw was found in Hibernate Validator version 6.1.2.Final. A bug in the message interpolation processor enables invalid EL expressions to be evaluated as if they were valid. This flaw allows attackers to bypass input sanitation (escaping, stripping) controls that developers may have put in place when handling user-controlled data in error messages.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,32
